"SYSTID";"MATNR";"MEINH";"LFNUM";"EAN11";"EANTP";"HPEAN"
"RA1";"000000000010145020";"ST";1;"136814";"Z2";NA
"RA1";"000000000010145030";"ST";1;"136842";"Z2";NA
"RA1";"000000000010145122";"ST";1;"137115";"Z2";NA
"RA1";"000000000010145132";"ST";1;"137143";"Z2";NA
"RA1";"000000000010145143";"ST";1;"137173";"Z2";NA
"RA1";"000000000010145155";"ST";1;"137208";"Z2";NA
"RA1";"000000000010145171";"ST";1;"137254";"Z2";NA
"RA1";"000000000010145175";"ST";1;"137266";"Z2";NA
"RA1";"000000000010145180";"ST";1;"137282";"Z2";NA
"RA1";"000000000010148128";"ST";2;"CLAB A434";"Z3";NA
"RA1";"000000000010151980";"ST";2;"CLAB H221";"Z3";NA
"RA1";"000000000010155557";"ST";3;"41053";"Z2";"X"
"RA1";"000000000010170429";"ST";2;"41051";"Z2";"X"
"RA1";"000000000010175744";"ST";1;"102657";"Z2";"X"
"RA1";"000000000010175744";"ST";2;"CF REG PURMO";"Z3";NA
"RA1";"000000000010176394";"ST";2;"CLAB A434";"Z3";NA
"RA1";"000000000010177695";"ST";2;"CLAB H221";"Z3";NA
"RA1";"000000000010178305";"ST";3;"41053";"Z2";NA
"RA1";"000000000010186676";"ST";2;"134162";"Z2";NA
"RA1";"000000000010186677";"ST";2;"134261";"Z2";NA
"RA1";"000000000010186734";"ST";1;"136627";"Z2";NA
"RA1";"000000000010186736";"ST";1;"137219";"Z2";NA
"RA1";"000000000010186794";"ST";1;"112495";"Z2";"X"
"RA1";"000000000010186794";"ST";2;"SE VEDB10";"Z3";NA
"RA1";"000000000010186818";"ST";1;"136751";"Z2";NA
"RA1";"000000000010186821";"ST";1;"137096";"Z2";NA
"RA1";"000000000010186822";"ST";1;"137145";"Z2";NA
"RA1";"000000000010186829";"ST";1;"137158";"Z2";NA
"RA1";"000000000010186845";"ST";2;"133547";"Z2";NA
"RA1";"000000000010186853";"ST";2;"133849";"Z2";NA
"RA1";"000000000010186872";"ST";2;"135315";"Z2";NA
"RA1";"000000000010186879";"ST";2;"135608";"Z2";NA
"RA1";"000000000010186923";"ST";1;"110885";"Z2";"X"
"RA1";"000000000010186923";"ST";2;"NOR GD25";"Z3";NA
"RA1";"000000000010186924";"ST";1;"124295";"Z2";"X"
"RA1";"000000000010186924";"ST";2;"SE VESDWH";"Z3";NA
"RA1";"000000000010187005";"ST";2;"135397";"Z2";NA
"RA1";"000000000010187013";"ST";2;"135589";"Z2";NA
"RA1";"000000000010187020";"ST";1;"136696";"Z2";NA
"RA1";"000000000010187024";"ST";1;"136745";"Z2";NA
"RA1";"000000000010187025";"ST";1;"136758";"Z2";NA
"RA1";"000000000010187051";"ST";2;"133528";"Z2";NA
"RA1";"000000000010187055";"ST";2;"133578";"Z2";NA
"RA1";"000000000010187057";"ST";2;"133656";"Z2";NA
"RA1";"000000000010187060";"ST";2;"133734";"Z2";NA
"RA1";"000000000010187066";"ST";2;"133818";"Z2";NA
"RA1";"000000000010187073";"ST";2;"133905";"Z2";NA
"RA1";"000000000010187086";"ST";2;"134144";"Z2";NA
"RA1";"000000000010187097";"ST";1;"137139";"Z2";NA
"RA1";"000000000010187098";"ST";1;"137152";"Z2";NA
"RA1";"000000000010187100";"ST";1;"137177";"Z2";NA
"RA1";"000000000010187110";"ST";1;"137299";"Z2";NA
"RA1";"000000000010187259";"ST";1;"110889";"Z2";"X"
